Unnamed: 0,Inception,Harry Potter,Spirited Away,Titanic,The Hangover,The Notebook,Coco,Pulp Fiction
Student 1,,9.0,10.0,,,,8.0,
Student 2,9.0,7.0,9.0,8.0,6.0,8.0,7.0,8.0
Student 3,9.0,8.0,6.0,6.0,7.0,8.0,6.0,10.0
Student 4,,6.0,,,9.0,,8.0,
Student 5,6.0,4.0,9.0,5.0,,7.0,7.0,
Student 6,9.0,8.0,10.0,7.0,7.0,8.0,10.0,
Student 7,,,,7.0,,10.0,9.0,10.0
Student 8,8.0,10.0,10.0,5.0,,,7.0,6.0
Student 9,8.0,6.0,9.0,7.0,,,8.0,8.0
Student 10,10.0,8.0,9.0,10.0,10.0,10.0,6.0,8.0
Student 11,8.0,7.0,,9.0,10.0,5.0,,8.0
Student 12,6.0,8.0,10.0,5.0,8.0,4.0,8.0,7.0
Student 13,8.0,10.0,9.0,8.0,7.0,8.0,9.0,
Student 14,10.0,8.0,,,,,8.0,
Student 15,10.0,9.0,8.0,7.0,,,7.0,
Student 16,,9.0,,7.0,,,6.0,
Student 17,9.0,5.0,10.0,,,,7.0,6.0
Student 18,9.0,6.0,,7.0,7.0,8.0,7.0,10.0
Student 19,8.0,8.0,,7.0,,,7.0,9.0
Student 20,,10.0,,8.0,10.0,9.0,10.0,
Student 21,,5.0,,6.0,,,,
Student 22,9.0,7.0,8.0,10.0,7.0,7.0,3.0,2.0
Student 23,,8.0,,7.0,7.0,10.0,9.0,
Student 24,9.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0
Student 25,9.0,10.0,10.0,8.0,,8.0,7.0,
Student 26,8.0,6.0,,6.0,,8.0,10.0,
Student 27,,9.0,,,9.0,8.0,6.0,9.0
Student 28,8.0,7.0,8.0,6.0,7.0,8.0,5.0,7.0
Student 29,,6.0,,,8.0,,,
